Name,Sep_pop,Oct_pop,latitude,longitude
한림읍,"25,084 ","25,110 ",33.376347,126.284734
애월읍,"37,194 ","37,247 ",33.411040,126.393958
구좌읍,"16,323 ","16,274 ",33.498076,126.795431
조천읍,"25,114 ","25,155 ",33.472170,126.667445
한경면,"9,423 ","9,432 ",33.322497,126.223161
추자면,"2,079 ","2,067 ",33.954602,126.326894
우도면,"1,915 ","1,915 ",33.505425,126.955464
일도1동,"2,868 ","2,837 ",33.513013,126.527396
일도2동,"34,208 ","34,177 ",33.506494,126.541002
이도1동,"7,815 ","7,805 ",33.505451,126.527513
이도2동,"50,764 ","50,767 ",33.495314,126.539425
삼도1동,"14,076 ","14,042 ",33.502767,126.519466
삼도2동,"8,470 ","8,441 ",33.512669,126.521202
용담1동,"7,398 ","7,388 ",33.508589,126.514761
용담2동,"15,454 ","15,387 ",33.506705,126.500566
건입동,"9,643 ","9,620 ",33.515231,126.542642
화북동,"25,293 ","25,303 ",33.520222,126.565474
삼양동,"25,720 ","25,801 ",33.521815,126.585566
봉개동,"5,328 ","5,325 ",33.446356,126.611410
아라동,"35,637 ","35,854 ",33.476302,126.544983
오라동,"15,515 ","15,535 ",33.495235,126.511556
연동,"43,693 ","43,662 ",33.457559,126.495174
노형동,"56,416 ","56,527 ",33.448474,126.485081
외도동,"21,955 ","21,995 ",33.492850,126.432208
이호동,"4,720 ","4,749 ",33.499819,126.458146
도두동,"3,296 ","3,315 ",33.503143,126.468063
대정읍,"23,162 ","23,132 ",33.256446,126.247034
남원읍,"19,860 ","19,801 ",33.328323,126.666095
성산읍,"17,396 ","17,388 ",33.418026,126.864724
안덕면,"12,749 ","12,702 ",33.292625,126.347640
표선면,"12,775 ","12,753 ",33.374804,126.768452
송산동,"4,876 ","4,874 ",33.245090,126.566005
정방동,"2,406 ","2,419 ",33.245866,126.565241
중앙동,"3,851 ","3,850 ",33.250787,126.565107
천지동,"3,677 ","3,678 ",33.247866,126.561238
효돈동,"5,380 ","5,386 ",33.263287,126.615548
영천동,"5,556 ","5,545 ",33.268798,126.586922
동홍동,"24,301 ","24,334 ",33.295452,126.551890
서홍동,"10,572 ","10,546 ",33.287047,126.540929
대륜동,"14,579 ","14,595 ",33.248173,126.511445
대천동,"14,034 ","14,032 ",33.250783,126.477610
중문동,"11,579 ","11,567 ",33.306456,126.442628
예래동,"4,324 ","4,295 ",33.254299,126.397884